Ship NameYear,,Month,Day,Long N,Lat N,Long S,Lat S
Abercrombie Robinson      ,1828,5,19,51.5,0.8,49.4,-1.1
Atlas 4                   ,1815,7,14,84,1,84.1,-0.6
Bridgewater 5             ,1819,9,22,91.4,1.2,90.5,-0.6
Canning                   ,1823,6,10,85.6,1.7,85.2,-0.8
Charles Grant             ,1819,5,10,54.4,1.1,53,-0.1
Duke of York 2            ,1822,4,16,66,0.2,66.9,-0.9
Earl Howe                 ,1803,8,22,82.5,1.9,82.5,-0.6
Edinburgh                 ,1830,5,25,54.8,1.5,53.3,-0.1
Farlie                    ,1812,11,8,88,0.3,91.5,-0.2
Farlie                    ,1813,7,12,83.8,0.7,85,-0.3
Farquharson               ,1821,5,6,55.2,0.5,53.3,-0.5
General Harris            ,1815,6,25,54,0.2,51.8,-0.5
George the Fourth         ,1832,5,8,65,0.2,64.8,-1.4
Macqueen                  ,1824,5,8,83.8,1.9,82.5,-1.1
Marchioness of Ely        ,1826,8,17,82.5,0.6,81.4,-1.4
Marquis Camden            ,1824,6,15,55,1.5,52.9,-0.2
Princess Charlotte of Wales,1817,6,30,83,0.4,82.5,-0.3
Sarah Christiana          ,1802,1,12,90.8,0.4,91.6,-0.2
Sir William Bensley       ,1802,11,3,92,0.2,90.6,-1.1
Sir William Pultney       ,1815,8,13,85.2,1.7,84.2,-0.6
Streatham 4               ,1817,6,30,82.9,0.6,82.3,-0.2
Taunton Castle            ,1809,8,31,60,1.1,59.6,-1.9
Thames 5                  ,1833,5,13,54.6,0.2,52.6,-1.3
Thomas Coutts             ,1832,5,7,58.7,1.6,58.8,-0.5
Thomas Grenville          ,1819,7,31,85.3,0.4,83.3,-2.2
Union 5                   ,1808,1,31,85.5,0.3,89.3,-0.6
William Fairlie           ,1824,6,26,83.5,0.1,83.5,-1.9
William Pitt 3            ,1811,10,9,87.4,0.5,86.8,-1.1
Windham 2                 ,1816,8,1,87.2,1,85.1,-0.3
Windsor 2                 ,1832,8,8,91.3,1.2,90.4,-0.3
Alnwick Castle            ,1802,6,10,81.2,0.5,80.5,-1.6
Alnwick Castle            ,1806,6,11,54.7,0.1,52.5,-1.2
Alnwick Castle            ,1808,6,20,82.7,0.2,82.1,-1.3
Alnwick Castle            ,1810,8,27,87,0.1,86.4,-1.2
Duchess of Athol          ,1822,6,8,83.8,0.3,83.9,-1.9
Duchess of Athol          ,1826,5,25,53.4,0.3,52.1,-1.2
Duchess of Athol          ,1828,5,16,65.2,0.2,64.6,-0.5
Duchess of Athol          ,1830,4,2,63.8,0.9,62.5,-1.2
Duchess of Athol          ,1832,4,20,60.9,0.2,60.6,-0.4
Lord Castlereagh 1        ,1817,8,23,84.7,0.6,83.8,-1.6
Lord Keith                ,1808,11,11,90.3,1.1,88.5,-0.6
Lord Keith                ,1810,11,14,90.3,0.9,90.3,-0.2
Lord Keith                ,1814,9,9,80.5,2.1,80.5,-0.3
Lord Keith                ,1816,7,20,80.4,1,80.4,-0.7
Lord Keith                ,1818,9,3,82.9,1.5,83,-0.9
Marquis of Ely            ,1802,8,1,93.4,0.4,93,-1.3
Marquis of Ely            ,1804,7,2,55.5,0.3,53.1,-0.2
Marquis of Ely            ,1811,8,23,91.2,0.1,90.5,-1.8
Marquis of Ely            ,1813,4,7,54.4,0.3,54.9,-0.5
Marquis of Ely            ,1819,10,2,91.5,1.5,89.6,0
Sir William Pultney       ,1806,4,11,70.5,1.7,70.1,-0.1
