Ship name,Year,Month,Day,Latitude,Longitude,Keyed wind direction,Magnetic wind direction,True wind direction,Keyed wind descriptors,Wind descriptors as text,Beaufort wind force,Wind speed (m/s),Keyed air temperature,Converted air temperature (C),Keyed pressure,Converted pressure (hPa)
Melville Castle               ,1790,03,18, 32.4, -15.6,SXE       ,168,146,    089   ,          Decreasing,  ,    , 6900,20.6,     ,    
Ocean 1                       ,1791,12,26, 39.4, -12.2,NW        ,315,293,    060   ,            Moderate, 4, 6.7, 5800,14.4,     ,    
Ocean 1                       ,1791,12,27, 38.0, -13.9,NXW       ,348,329,    060   ,            Moderate, 4, 6.7, 5800,14.4,     ,    
Ocean 1                       ,1791,12,28, 35.5, -15.1,          ,   ,   ,    060   ,            Moderate, 4, 6.7, 5800,14.4,     ,    
Melville Castle               ,1792,03,16, 39.9, -14.2,          ,   ,   ,       003,                Calm, 0, 0.0, 5600,13.3,     ,    
Melville Castle               ,1792,03,17, 39.0, -13.4,WXN       ,281,261,    062002,     Pleasant Breeze, 4, 6.7, 5900,15.0,     ,    
Melville Castle               ,1792,03,18, 36.7, -14.4,          ,   ,   ,    062002,     Pleasant Breeze, 4, 6.7, 5800,14.4,     ,    
Melville Castle               ,1792,03,19, 34.9, -15.4,          ,   ,   ,       015,                Wind,  ,    , 5800,14.4,     ,    
Ocean 1                       ,1792,03,29, 37.3,  -9.9,          ,   ,   ,    089   ,          Decreasing,  ,    , 6700,19.4,     ,    
Ocean 1                       ,1792,03,30, 37.7, -11.9,NW        ,315,295,    055   ,          Increasing,  ,    , 6500,18.3,     ,    
Warley 1                      ,1793,03,27, 34.0, -11.8,VTE       ,   ,   ,    058002,        Light Breeze, 2, 2.6, 7200,22.2,     ,    
Warley 1                      ,1793,03,29, 34.5, -13.7,NEXE      , 56, 35,          ,                    ,  ,    , 7000,21.1,     ,    
Exeter 2                      ,1793,06,25, 37.8,  -8.7,NE        , 45, 36,    058002,        Light Breeze, 2, 2.6, 5700,13.9,     ,    
Exeter 2                      ,1793,07,04, 38.5, -13.1,          ,   ,   ,    006005,           Hard Gale,10,26.8,     ,    ,     ,    
Exeter 2                      ,1793,07,05, 38.0, -13.4,          ,   ,   ,    058001,           Light Air, 1, 1.0,     ,    ,     ,    
Ocean 1                       ,1794,05,15, 39.1, -12.6,NEXE      , 56, 34,    060002,     Moderate Breeze, 4, 6.7, 5950,15.3,30500,1029.7
Woodford 1                    ,1794,05,15, 39.1, -12.9,          ,   ,   ,    060002,     Moderate Breeze, 4, 6.7, 6160,16.4,     ,    
Lord Hawkesbury               ,1794,05,15, 39.1, -12.9,          ,   ,   ,    048002,         Fine Breeze, 5, 9.3, 6000,15.6,     ,    
Taunton Castle                ,1794,05,15, 39.1, -12.2,          ,   ,   ,    062002,     Pleasant Breeze, 4, 6.7, 6200,16.7,30240,1020.7
Rockingham 1                  ,1794,05,15, 39.1, -12.8,          ,   ,   ,          ,                    ,  ,    , 6000,15.6,     ,    
Carnatic 2                    ,1794,05,15, 39.1, -12.4,NE        , 45, 23,    049002,        Fresh Breeze, 5, 9.3,     ,    ,     ,    
Phoenix 3                     ,1794,05,15, 39.1, -13.2,          ,   ,   ,    049002,        Fresh Breeze, 5, 9.3,     ,    ,     ,    
Ocean 1                       ,1794,05,16, 37.4, -13.9,          ,   ,   ,    060   ,            Moderate, 4, 6.7, 6450,18.1,30390,1025.4
Woodford 1                    ,1794,05,16, 37.3, -14.3,          ,   ,   ,    058002,        Light Breeze, 2, 2.6, 6400,17.8,     ,    
Lord Hawkesbury               ,1794,05,16, 37.3, -14.2,          ,   ,   ,    048002,         Fine Breeze, 5, 9.3, 6200,16.7,     ,    
Taunton Castle                ,1794,05,16, 37.3, -12.6,          ,   ,   ,          ,                    ,  ,    , 6500,18.3,30180,1018.2
Rockingham 1                  ,1794,05,16, 37.3, -14.2,          ,   ,   ,          ,                    ,  ,    , 6250,16.9,     ,    
Carnatic 2                    ,1794,05,16, 37.3, -13.8,          ,   ,   ,    048002,         Fine Breeze, 5, 9.3, 6400,17.8,     ,    
Phoenix 3                     ,1794,05,16, 37.3, -14.4,          ,   ,   ,    067002,       Steady Breeze, 5, 9.3,     ,    ,     ,    
Ocean 1                       ,1794,05,17, 35.7, -14.8,          ,   ,   ,    060   ,            Moderate, 4, 6.7, 6400,17.8,30330,1023.3
Woodford 1                    ,1794,05,17, 35.6, -15.2,          ,   ,   ,    058002,        Light Breeze, 2, 2.6, 6550,18.6,     ,    
Lord Hawkesbury               ,1794,05,17, 35.6, -15.2,NE        , 45, 24,    062002,     Pleasant Breeze, 4, 6.7, 6400,17.8,     ,    
Taunton Castle                ,1794,05,17, 35.7, -14.4,          ,   ,   ,    062002,     Pleasant Breeze, 4, 6.7, 6400,17.8,30150,1017.2
Rockingham 1                  ,1794,05,17, 35.6, -15.2,          ,   ,   ,          ,                    ,  ,    , 6350,17.5,     ,    
Carnatic 2                    ,1794,05,17, 35.6, -14.8,          ,   ,   ,    058002,        Light Breeze, 2, 2.6, 6500,18.3,     ,    
Phoenix 3                     ,1794,05,17, 35.6, -15.3,          ,   ,   ,          ,                    ,  ,    ,     ,    ,     ,    
Ocean 1                       ,1794,05,18, 34.0, -14.8,          ,   ,   ,    060   ,            Moderate, 4, 6.7, 6500,18.3,30330,1023.0
Taunton Castle                ,1794,05,18, 33.9, -15.7,          ,   ,   ,    067002,       Steady Breeze, 5, 9.3, 6700,19.4,30800,1038.7
Taunton Castle                ,1794,05,19, 32.5, -15.8,NXE       , 11,352,    069002,       Strong Breeze, 6,12.3, 6700,19.4,29930,1009.2
Carnatic 2                    ,1794,05,19, 32.5, -16.0,NNE       , 22,  3,    049002,        Fresh Breeze, 5, 9.3,     ,    ,     ,    
Warley 1                      ,1794,06,01, 38.5, -15.8,NNE       , 22,359,          ,                    ,  ,    , 6400,17.8,     ,    
Warley 1                      ,1794,06,02, 38.2, -15.2,NW        ,315,292,          ,                    ,  ,    , 6100,16.1,     ,    
Warley 1                      ,1794,06,03, 37.1, -15.1,SW        ,225,202,          ,                    ,  ,    , 6100,16.1,     ,    
Warley 1                      ,1794,06,05, 34.5, -12.8,SSW       ,202,181,          ,                    ,  ,    , 6100,16.1,     ,    
Lord Thurlow                  ,1794,06,06, 33.5, -15.2,SXW       ,191,167,    060   ,            Moderate, 4, 6.7,     ,    ,     ,    
Exeter 2                      ,1794,06,06, 33.4, -14.6,          ,   ,   ,    062002,     Pleasant Breeze, 4, 6.7, 6000,15.6,     ,    
Warley 1                      ,1794,06,06, 32.8, -11.5,SXE       ,168,147,          ,                    ,  ,    , 6200,16.7,     ,    
Walpole 4                     ,1794,07,04, 39.0, -14.8,          ,   ,   ,    062002,     Pleasant Breeze, 4, 6.7,     ,    ,     ,    
Walpole 4                     ,1794,07,05, 37.6, -15.7,NXE       , 11,351,    058002,        Light Breeze, 2, 2.6,     ,    ,     ,    
Woodford 1                    ,1794,07,14, 33.9, -14.4,W         ,270,263,          ,                    ,  ,    , 6050,15.8,     ,    
Taunton Castle                ,1794,07,14, 33.8, -14.9,WSW       ,247,240,          ,                    ,  ,    , 6200,16.7,29950,1010.5
Ocean 1                       ,1794,07,15, 33.3, -10.4,          ,   ,   ,    069005,         Strong Gale, 9,22.6, 5000,10.0,30080,1015.9
Lord Hawkesbury               ,1794,07,15, 33.3, -10.4,SW        ,225,215,    055005,     Increasing Gale,  ,    , 5700,13.9,     ,    
Taunton Castle                ,1794,07,15, 34.1, -10.8,WSW       ,247,237,    049005,          Fresh Gale, 8,19.0, 6100,16.1,29900,1008.9
